what,kind,bundleId,bundleVersion,description,time
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1321823752600
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1321823752600
java.vm.specification.version,sysinfo,,,"1.0",1321823752600
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1321823752600
java.vm.version,sysinfo,,,"20.4-b02",1321823752600
started,bundle,org.eclipse.m2e.usagedata,1.0.100.20110804-1717,"org.eclipse.m2e.usagedata",1321823752620
started,bundle,org.eclipse.mylyn.ide.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.ide.ui",1321823819014
started,bundle,org.eclipse.mylyn.java.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.java.ui",1321823819052
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1321823831383
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1321824205535
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1321824208530
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1321824316198
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1321824321262
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1321824339589
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1321824352447
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1321824384105
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1321824388582
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1321824389799
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1321824399391
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1321824518945
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1321824547822
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1321824565802
opened,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1321824580067
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1321824580163
opened,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1321824583593
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1321824583689
opened,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1321824584999
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1321824585084
activated,view,org.eclipse.ui.ide,3.7.0.v20110809-1737,"org.eclipse.ui.views.ResourceNavigator",1321824595094
started,bundle,org.eclipse.compare,3.5.201.R37x_v20110817-0800,"org.eclipse.compare",1321824596356
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1321824598597
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1321824601393
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1321824601752
closed,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1321824601894
closed,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1321824601927
closed,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1321824602001
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1321824602150
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1321824607348
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1321824607369
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1321824609174
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1321824609203
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1321824610713
activated,view,org.eclipse.ui.ide,3.7.0.v20110809-1737,"org.eclipse.ui.views.ResourceNavigator",1321824610787
closed,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1321824610787
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1321824619320
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1321824631824
closed,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1321824638159
stopped,bundle,org.eclipse.m2e.logback.configuration,1.0.100.20110804-1717,"org.eclipse.m2e.logback.configuration",1321824641496
stopped,bundle,org.eclipse.m2e.discovery,1.0.100.20110804-1717,"org.eclipse.m2e.discovery",1321824641508
stopped,bundle,org.eclipse.m2e.refactoring,1.0.100.20110804-1717,"org.eclipse.m2e.refactoring",1321824641527
stopped,bundle,org.eclipse.m2e.editor,1.0.100.20110804-1717,"org.eclipse.m2e.editor",1321824641553
stopped,bundle,org.eclipse.m2e.editor.xml,1.0.100.20110804-1717,"org.eclipse.m2e.editor.xml",1321824641575
stopped,bundle,org.eclipse.m2e.jdt,1.0.100.20110804-1717,"org.eclipse.m2e.jdt",1321824641601
stopped,bundle,org.eclipse.m2e.launching,1.0.100.20110804-1717,"org.eclipse.m2e.launching",1321824641611
stopped,bundle,org.eclipse.m2e.usagedata,1.0.100.20110804-1717,"org.eclipse.m2e.usagedata",1321824641612
stopped,bundle,org.eclipse.ui.cheatsheets,3.4.100.v20110425,"org.eclipse.ui.cheatsheets",1321824641613
stopped,bundle,org.eclipse.help.ui,3.5.101.r37_20110819,"org.eclipse.help.ui",1321824641615
stopped,bundle,org.eclipse.help.webapp,3.6.0.v20110518,"org.eclipse.help.webapp",1321824641639
stopped,bundle,org.eclipse.epp.mpc.ui,1.1.1.I20110907-0947,"org.eclipse.epp.mpc.ui",1321824641639
stopped,bundle,org.eclipse.epp.usagedata.ui,1.3.1.R201106061540,"org.eclipse.epp.usagedata.ui",1321824641670
