what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ltk.ui.refactoring,3.6.0.v20110505-0800,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1318026022947
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1318026022947
executed,command,org.eclipse.ui.ide,3.7.0.v20110809-1737,"org.eclipse.ui.project.closeProject",1318026025723
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1318026028885
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1318026031493
executed,command,org.eclipse.ltk.ui.refactoring,3.6.0.v20110505-0800,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1318026031500
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1318026031500
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1318026033775
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1318026068709
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1318026069583
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1318026084619
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1318026084806
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1318026091280
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1318026141964
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1318026148625
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1318026153259
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1318026155817
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1318026159842
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1318026159857
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1318026161433
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1318026171714
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1318026173383
executed,command,org.eclipse.jdt.debug.ui,3.6.1.v20110803_r371,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1318026173398
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1318026186612
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1318026201572
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1318026203007
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1318026204021
closed,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1318026204162
stopped,bundle,org.eclipse.m2e.logback.configuration,1.0.100.20110804-1717,"org.eclipse.m2e.logback.configuration",1318026204879
stopped,bundle,org.eclipse.m2e.discovery,1.0.100.20110804-1717,"org.eclipse.m2e.discovery",1318026204879
stopped,bundle,org.eclipse.m2e.refactoring,1.0.100.20110804-1717,"org.eclipse.m2e.refactoring",1318026204879
stopped,bundle,org.eclipse.m2e.editor,1.0.100.20110804-1717,"org.eclipse.m2e.editor",1318026204879
stopped,bundle,org.eclipse.m2e.editor.xml,1.0.100.20110804-1717,"org.eclipse.m2e.editor.xml",1318026204879
